1,4
2,5
3,5
4,6
5,9
6,5
7,3
8,5
9,7
10,8
11,3
12,5
13,6
14,9
15,6
16,3
17,4
18,4
19,9
20,6
21,6
22,7
23,5
24,4
25,5
26,9
27,5
28,6
29,13
30,9
31,5
32,6
33,14
34,8
35,10
36,16
37,17
38,11
39,8
40,5
41,7
42,5
43,7
44,8
45,7
46,5
47,10
48,12
49,10
50,6
51,3
52,11
53,9
54,4
55,17
56,18
57,23
58,7
59,9
60,17
61,10
62,12
63,17
64,16
65,15
66,9
67,8
68,4
69,9
70,3
71,4
72,8
73,4
74,9
75,6
76,12
77,6
78,8
79,6
80,4
81,6
82,4
83,8
84,7
85,12
86,1
87,6
88,5
89,8
90,5
91,7
92,7
93,9
94,3
95,4
96,8
97,8
98,10
99,7
100,8
101,7
102,5
103,3
104,7
105,2
106,9
107,6
108,12
109,4
110,9
111,2
112,8
113,14
114,4
115,10
116,22
117,8
118,7
119,5
120,14
121,19
122,10
123,9
124,6
125,8
126,7
127,14
128,4
129,5
130,21
131,15
132,5
133,19
134,19
135,27
136,8
137,19
138,60
139,114
140,89
141,48
142,131
143,39
144,17
145,17
146,19
147,25
148,102
149,373
150,267
151,18
152,12
153,19
154,12
155,11
156,7
157,14
158,13
159,8
160,12
161,8
162,13
163,7
164,10
165,9
166,6
167,6
168,16
169,14
170,10
171,17
172,26
173,15
174,10
175,6
176,11
177,13
178,8
179,17
180,7
181,16
182,9
183,13
184,9
185,34
186,9
187,20
188,11
189,8
190,13
191,14
192,13
193,28
194,11
195,10
196,9
197,7
198,9
199,10
200,58
201,13
202,7
203,19
204,48
205,7
206,16
207,11
208,19
209,17
210,17
211,10
212,10
213,12
214,11
215,15
216,14
217,15
218,28
219,9
220,11
221,42
222,10
223,17
224,9
225,13
226,19
227,14
228,36
229,19
230,14
231,16
232,18
233,24
234,10
235,19
236,22
237,16
238,21
239,28
240,12
241,18
242,18
243,17
244,19
245,20
246,26
247,38
248,23
249,26
250,21
251,27
252,44
253,37
254,30
255,21
256,26
257,25
258,19
259,41
260,70
261,12
262,24
263,21
264,13
265,23
266,17
267,10
268,27
269,23
270,17
271,17
272,23
273,18
274,17
275,19
276,27
277,31
278,25
279,48
280,20
281,17
282,26
283,31
284,23
285,24
286,21
287,27
288,32
289,34
290,23
291,35
292,18
293,30
294,31
295,44
296,25
297,23
298,48
299,34
300,39
301,31
302,23
303,31
304,40
305,39
306,158
307,42
308,27
309,37
310,46
311,55
312,43
313,39
314,20
315,36
316,48
317,40
318,34
319,45
320,33
321,35
322,52
323,66
324,37
325,61
326,41
327,76
328,53
329,53
330,43
331,58
332,65
333,48
334,57
335,53
336,66
337,71
338,48
339,59
340,60
341,60
342,57
343,102
344,49
345,59
346,76
347,87
348,206
349,1435
350,51
351,57
352,73
353,93
354,51
355,60
356,40
357,81
358,65
359,53
360,49
361,90
362,69
363,73
364,67
365,71
366,80
367,68
368,58
369,59
370,72
371,63
372,61
373,69
374,71
375,71
376,66
377,91
378,102
379,94
380,97
381,135
382,143
383,134
384,138
385,179
386,172
387,171
388,187
389,189
390,204
391,269
392,187
393,430
394,290
395,220
396,270
397,249
398,262
399,238
400,235
401,266
402,373
403,261
404,275
405,410
406,249
407,330
408,242
409,273
410,346
411,293
412,300
413,282
414,276
415,266
416,288
417,269
418,300
419,305
420,252
421,337
422,263
423,293
424,257
425,363
426,406
427,2267
428,6758
429,12262
430,19089
431,26859
432,17406
433,15058
434,9722
435,9817
436,15957
437,13231
438,19412
439,25019
440,28764
441,41205
442,34500
443,56375
444,79264
445,68609
446,72928
447,99231
448,95417
449,99830
450,85145
451,86334
452,78801
453,82645
454,102805
455,93369
456,95115
457,104109
458,95438
459,94782
460,83164
461,92745
462,88169
463,100698
464,93961
465,90047
466,99495
467,115843
468,145222
469,165424
470,149337
471,142014
472,172496
473,225836
474,223881
475,180060
476,198588
477,170047
478,209076
479,203135
480,202730
481,182339
482,168250
483,192732
484,195499
485,184770
486,172909
487,174883
488,189934
489,280590
490,269119
491,227771
492,197624
493,170424
494,163369
495,180781
496,204920
497,193991
498,165620
499,149900
500,151706
501,146031
502,154988
503,146546
504,141781
505,138045
506,136058
507,125721
508,121039
509,106975
510,107651
511,100732
512,96600
513,98873
514,107985
515,97535
516,87909
517,89380
518,85785
519,78287
520,73314
521,74666
522,72038
523,75847
524,94235
525,78623
526,90289
527,71857
528,80591
529,80777
530,83543
531,71783
532,78452
533,65993
534,75015
535,85873
536,88807
537,85204
538,94093
539,83814
540,69769
541,70926
542,69376
543,49687
544,47262
545,43710
546,43106
547,35336
548,34820
549,31305
550,32470
551,28016
552,28091
553,23062
554,17240
555,14900
556,8119
557,7254
558,8187
559,8970
560,5578
561,5069
562,5680
563,7207
564,6720
565,5280
566,5106
567,7388
568,5867
569,3183
570,3061
571,2647
572,2313
573,2468
574,2809
575,1820
576,1875
577,2175
578,2253
579,2154
580,2331
581,2808
582,2267
583,3422
584,2565
585,2201
586,2199
587,4626
588,2958
589,3445
590,3018
591,3460
592,3555
593,2774
594,2696
595,2998
596,2714
597,2352
598,2458
599,2726
600,3273
601,2587
602,3035
603,2529
604,1691
605,1074
606,1502
607,1359
608,1343
609,1410
610,1399
611,1264
612,1055
613,1272
614,1211
615,778
616,754
617,684
618,661
619,781
620,1369
621,905
622,867
623,632
624,1100
625,1207
626,915
627,1070
628,941
629,3939
630,1132
631,869
632,629
633,826
634,657
635,666
636,615
637,657
638,693
639,778
640,828
641,497
642,429
643,504
644,435
645,545
646,669
647,664
648,700
649,645
650,497
651,468
652,427
653,438
654,492
655,429
656,507
657,915
658,11345
659,1019
660,528
661,429
662,329
663,364
664,358
665,303
666,309
667,375
668,276
669,268
670,336
671,461
672,667
673,566
674,992
675,951
676,4207
677,28660
678,940
679,4757
680,30656
681,1698
682,1123
683,23096
684,17069
685,2088
686,916
687,477
688,729
689,594
690,921
691,1551
692,5098
693,5296
694,3229
695,3782
696,9918
697,27385
698,28340
699,1484
700,673
701,521
702,451
703,368
704,216
705,221
706,244
707,189
708,155
709,166
710,172
711,250
712,195
713,204
714,264
715,265
716,236
717,220
718,200
719,225
720,229
721,181
722,167
723,190
724,173
725,215
726,173
727,175
728,390
